# Sampling period is 1000000 ns
pid.s.error;spindle-vel-fb-rpm-abs-filtered;pid.s.feedback
3.51053159478442;500.25265285497733;500.25265285497733
-0.25265285497733;497.31838127742571;497.31838127742571
2.68161872257429;497.73755656108602;497.73755656108602
2.26244343891398;498.74055415617141;498.74055415617141
1.25944584382859;498.74055415617141;498.74055415617141
1.25944584382859;497.73755656108602;497.73755656108602
2.26244343891398;495.49549549549556;495.49549549549556
4.50450450450444;499.49545913218975;499.49545913218975
0.50454086781025;496.48946840521558;496.48946840521558
3.51053159478442;496.10894941634245;496.10894941634245
3.89105058365755;497.73755656108602;497.73755656108602
2.26244343891398;497.73755656108602;497.73755656108602
2.26244343891398;496.24060150375948;496.24060150375948
3.75939849624052;497.48743718592965;497.48743718592965
2.51256281407035;497.56097560975621;497.56097560975621
2.43902439024379;497.23756906077364;497.23756906077364
2.76243093922636;496.73858504766690;496.73858504766690
3.26141495233310;498.48942598187313;498.48942598187313
1.51057401812687;498.23855057876193;498.23855057876193
1.76144942123807;496.48946840521558;496.48946840521558
3.51053159478442;497.98792756539240;497.98792756539240
2.01207243460760;498.77750611246950;498.77750611246950
1.22249388753050;496.98795180722897;496.98795180722897
3.01204819277103;497.48743718592965;497.48743718592965
2.51256281407035;500.50556117290205;500.50556117290205
-0.50556117290205;497.31838127742571;497.31838127742571
2.68161872257429;497.23756906077364;497.23756906077364
2.76243093922636;499.74760222110046;499.74760222110046
0.25239777889954;498.74055415617141;498.74055415617141
1.25944584382859;496.35036496350375;496.35036496350375
3.64963503649625;498.18370524130773;498.18370524130773
1.81629475869227;500.73637702503697;500.73637702503697
-0.73637702503697;497.73755656108602;497.73755656108602
2.26244343891398;497.98792756539240;497.98792756539240
2.01207243460760;499.75502204801580;499.75502204801580
0.24497795198420;496.98795180722897;496.98795180722897
3.01204819277103;496.48946840521558;496.48946840521558
3.51053159478442;498.99193548387098;498.99193548387098
1.00806451612902;498.23855057876193;498.23855057876193
1.76144942123807;497.31838127742571;497.31838127742571
2.68161872257429;498.48942598187313;498.48942598187313
1.51057401812687;497.23756906077364;497.23756906077364
2.76243093922636;497.48743718592965;497.48743718592965
2.51256281407035;497.23756906077364;497.23756906077364
2.76243093922636;499.24357034795770;499.24357034795770
0.75642965204230;495.86776859504135;495.86776859504135
4.13223140495865;498.99193548387098;498.99193548387098
1.00806451612902;497.48743718592965;497.48743718592965
2.51256281407035;498.74055415617141;498.74055415617141
1.25944584382859;494.66537342386033;494.66537342386033
5.33462657613967;498.44236760124608;498.44236760124608
1.55763239875392;497.23756906077364;497.23756906077364
2.76243093922636;497.48743718592965;497.48743718592965
2.51256281407035;495.86776859504135;495.86776859504135
4.13223140495865;499.49545913218975;499.49545913218975
0.50454086781025;498.23855057876193;498.23855057876193
1.76144942123807;495.99198396793588;495.99198396793588
4.00801603206412;499.51028403525959;499.51028403525959
0.48971596474041;497.73755656108602;497.73755656108602
2.26244343891398;496.98795180722897;496.98795180722897
3.01204819277103;495.74361542313466;495.74361542313466
4.25638457686534;500.98231827111988;500.98231827111988
-0.98231827111988;495.49549549549556;495.49549549549556
4.50450450450444;497.48743718592965;497.48743718592965
2.51256281407035;495.86776859504135;495.86776859504135
4.13223140495865;500.49067713444560;500.49067713444560
-0.49067713444560;495.99198396793588;495.99198396793588
4.00801603206412;495.74361542313466;495.74361542313466
4.25638457686534;498.23855057876193;498.23855057876193
1.76144942123807;498.04687500000011;498.04687500000011
1.95312499999989;496.73858504766690;496.73858504766690
3.26141495233310;497.73755656108602;497.73755656108602
